Date,Day_of_Week,Month,Month_Name,Quarter,Week_of_Year,Is_Weekend,Holiday,Clinic_Type,Provider_Count,Available_Slots,Scheduled_Appointments,Completed_Appointments,Cancelled_Appointments,No_Shows,Walk_Ins,Patient_Volume,Average_Wait_Time,Capacity_Utilization,Revenue,Claims_Submitted,Claims_Denied,Staffing_Level
2023-07-30,Sunday,7,July,3,30,1,0,Pediatrics,9,135,74,79,3,7,15,79,46.7,58.5,2267.0,70,6,15
2023-07-31,Monday,7,July,3,31,0,0,Medicine,8,120,121,133,2,5,19,133,76.8,110.8,4569.37,129,9,10
2023-08-01,Tuesday,8,August,3,31,0,0,Medicine,8,120,142,145,5,11,19,145,97.8,120.8,4585.92,139,13,11
2023-08-02,Wednesday,8,August,3,31,0,0,General OPD,7,112,150,152,8,8,18,152,100.0,125.0,5138.42,135,8,9
2023-08-03,Thursday,8,August,3,31,0,0,Medicine,8,120,119,118,7,10,16,118,65.6,98.3,3923.99,110,6,14
2023-08-04,Friday,8,August,3,31,0,0,General OPD,7,105,133,128,6,9,10,128,100.0,121.9,3883.88,114,8,10
2023-08-05,Saturday,8,August,3,31,1,0,General OPD,6,90,75,80,3,6,14,80,56.1,88.9,2526.02,77,5,10
2023-08-06,Sunday,8,August,3,31,1,0,Medicine,7,119,81,92,6,6,23,92,49.2,77.3,2814.01,87,4,12
2023-08-07,Monday,8,August,3,32,0,0,Pediatrics,7,105,120,122,5,11,18,122,100.0,116.2,3961.95,109,5,9
2023-08-08,Tuesday,8,August,3,32,0,0,Medicine,8,136,132,131,7,14,20,131,71.0,96.3,3748.65,116,7,10
2023-08-09,Wednesday,8,August,3,32,0,0,Medicine,6,90,113,125,4,6,22,125,100.0,125.0,3696.46,110,6,8
2023-08-10,Thursday,8,August,3,32,0,0,Pediatrics,8,120,131,140,5,7,21,140,95.3,116.7,4248.18,130,11,10
2023-08-11,Friday,8,August,3,32,0,0,General OPD,7,112,120,111,7,9,7,111,66.3,99.1,3725.92,106,7,13
2023-08-12,Saturday,8,August,3,32,1,0,General OPD,8,136,73,71,4,4,6,71,35.6,52.2,1869.99,63,3,14
2023-08-13,Sunday,8,August,3,32,1,0,General OPD,8,120,67,75,3,6,17,75,52.0,62.5,2367.86,68,4,14
2023-08-14,Monday,8,August,3,33,0,1,General OPD,7,119,95,104,2,9,20,104,60.0,87.4,3033.39,95,5,13
2023-08-15,Tuesday,8,August,3,33,0,0,Surgical OPD,8,136,114,127,5,7,25,127,62.9,93.4,3855.0,115,7,11
2023-08-16,Wednesday,8,August,3,33,0,0,General OPD,6,108,115,123,6,7,21,123,92.3,113.9,3611.2,113,7,12
2023-08-17,Thursday,8,August,3,33,0,0,Surgical OPD,8,128,83,88,4,6,15,88,52.3,68.8,2884.49,82,4,11
2023-08-18,Friday,8,August,3,33,0,0,Pediatrics,7,112,106,110,4,8,16,110,75.0,98.2,3450.87,104,7,11
2023-08-19,Saturday,8,August,3,33,1,0,Medicine,6,96,63,65,3,5,10,65,44.6,67.7,2265.02,63,3,12
2023-08-20,Sunday,8,August,3,33,1,0,Pediatrics,7,126,77,89,3,3,18,89,41.9,70.6,2991.02,87,5,11
2023-08-21,Monday,8,August,3,34,0,0,Pediatrics,6,108,108,114,4,6,16,114,80.0,105.6,2947.11,107,7,12
2023-08-22,Tuesday,8,August,3,34,0,0,Pediatrics,7,112,113,122,6,7,22,122,91.7,108.9,3435.52,116,6,11
2023-08-23,Wednesday,8,August,3,34,0,0,General OPD,7,126,129,129,6,7,13,129,82.3,102.4,4038.68,126,7,12
2023-08-24,Thursday,8,August,3,34,0,0,Medicine,8,144,101,104,4,3,10,104,52.5,72.2,3310.14,92,4,12
2023-08-25,Friday,8,August,3,34,0,0,General OPD,8,144,113,124,4,4,19,124,56.8,86.1,3535.6,109,6,11
2023-08-26,Saturday,8,August,3,34,1,0,General OPD,6,96,73,72,3,4,6,72,49.2,75.0,2679.54,64,4,8
2023-08-27,Sunday,8,August,3,34,1,0,Pediatrics,7,112,76,83,4,5,16,83,50.6,74.1,2943.08,78,3,11
2023-08-28,Monday,8,August,3,35,0,0,General OPD,8,128,121,129,8,8,24,129,79.9,100.8,3279.31,123,9,10
2023-08-29,Tuesday,8,August,3,35,0,0,Surgical OPD,8,144,108,127,6,6,31,127,65.3,88.2,4239.48,116,8,13
2023-08-30,Wednesday,8,August,3,35,0,0,Surgical OPD,8,128,109,116,4,9,20,116,61.9,90.6,3690.75,108,8,13
2023-08-31,Thursday,8,August,3,35,0,0,Surgical OPD,8,144,86,92,3,7,16,92,59.4,63.9,3401.75,86,2,11
2023-09-01,Friday,9,September,3,35,0,0,General OPD,7,105,129,126,5,10,12,126,100.0,120.0,3240.78,112,10,10
2023-09-02,Saturday,9,September,3,35,1,0,General OPD,7,126,86,93,4,6,17,93,49.5,73.8,3742.27,85,5,11
2023-09-03,Sunday,9,September,3,35,1,0,Surgical OPD,8,136,49,63,2,3,19,63,46.2,46.3,1803.58,56,3,14
2023-09-04,Monday,9,September,3,36,0,0,Pediatrics,7,112,104,112,5,6,19,112,64.8,100.0,3753.58,100,6,12
2023-09-05,Tuesday,9,September,3,36,0,0,Surgical OPD,7,112,96,116,2,4,26,116,81.9,103.6,3430.65,111,5,9
2023-09-06,Wednesday,9,September,3,36,0,0,Surgical OPD,7,119,98,103,5,7,17,103,57.9,86.6,3141.02,99,6,13
2023-09-07,Thursday,9,September,3,36,0,0,Medicine,7,126,107,101,5,9,8,101,61.3,80.2,2549.48,97,7,12
2023-09-08,Friday,9,September,3,36,0,0,General OPD,7,105,116,104,7,11,6,104,76.8,99.0,3825.9,99,6,11
2023-09-09,Saturday,9,September,3,36,1,0,General OPD,7,119,73,76,4,5,12,76,47.5,63.9,2350.03,73,3,12
2023-09-10,Sunday,9,September,3,36,1,0,Medicine,7,119,81,88,3,7,17,88,54.6,73.9,2745.02,83,3,10
2023-09-11,Monday,9,September,3,37,0,0,General OPD,6,108,148,161,8,4,25,161,100.0,125.0,6641.24,152,10,8
2023-09-12,Tuesday,9,September,3,37,0,0,General OPD,7,112,106,119,4,7,24,119,87.6,106.2,4264.69,113,6,9
2023-09-13,Wednesday,9,September,3,37,0,0,Pediatrics,7,126,103,113,2,7,19,113,55.4,89.7,3313.9,105,7,10
2023-09-14,Thursday,9,September,3,37,0,0,Surgical OPD,7,119,79,86,4,8,19,86,52.3,72.3,2542.07,79,6,13
2023-09-15,Friday,9,September,3,37,0,0,Medicine,7,119,120,118,4,10,12,118,74.2,99.2,3898.63,112,8,10
2023-09-16,Saturday,9,September,3,37,1,0,Pediatrics,7,112,41,44,2,3,8,44,26.9,39.3,1543.65,40,2,9
2023-09-17,Sunday,9,September,3,37,1,0,General OPD,7,112,58,61,4,4,11,61,42.9,54.5,2379.6,57,3,11
2023-09-18,Monday,9,September,3,38,0,0,Pediatrics,7,112,113,126,5,8,26,126,92.0,112.5,3221.52,116,8,13
2023-09-19,Tuesday,9,September,3,38,0,0,Surgical OPD,8,144,113,111,4,11,13,111,49.4,77.1,3874.8,101,4,13
2023-09-20,Wednesday,9,September,3,38,0,0,General OPD,6,96,121,128,7,4,18,128,100.0,125.0,4550.49,125,10,10
2023-09-21,Thursday,9,September,3,38,0,0,Pediatrics,9,153,92,108,4,7,27,108,52.2,70.6,3114.93,98,4,15
2023-09-22,Friday,9,September,3,38,0,0,Medicine,6,102,118,118,3,11,14,118,96.4,115.7,3605.96,107,9,8
2023-09-23,Saturday,9,September,3,38,1,0,Medicine,7,105,56,65,1,2,12,65,47.0,61.9,1656.11,58,3,9
2023-09-24,Sunday,9,September,3,38,1,0,Medicine,6,108,89,88,3,8,10,88,54.7,81.5,2639.69,85,6,10
2023-09-25,Monday,9,September,3,39,0,0,Medicine,7,105,111,126,6,6,27,126,97.2,120.0,4148.98,118,6,13
2023-09-26,Tuesday,9,September,3,39,0,0,General OPD,7,119,117,130,5,9,27,130,97.9,109.2,4988.94,122,9,12
2023-09-27,Wednesday,9,September,3,39,0,0,General OPD,7,105,122,132,5,7,22,132,100.0,125.0,5114.4,127,11,12
2023-09-28,Thursday,9,September,3,39,0,0,Medicine,8,136,91,96,2,8,15,96,45.4,70.6,2676.75,88,3,11
2023-09-29,Friday,9,September,3,39,0,0,Medicine,7,105,119,119,6,8,14,119,91.9,113.3,4501.94,107,7,11
2023-09-30,Saturday,9,September,3,39,1,0,Medicine,7,112,55,61,1,5,12,61,41.6,54.5,1476.36,55,3,13
2023-10-01,Sunday,10,October,4,39,1,0,Surgical OPD,6,90,53,60,2,4,13,60,46.4,66.7,1779.62,57,3,10
2023-10-02,Monday,10,October,4,40,0,0,Pediatrics,7,112,113,126,5,7,25,126,100.0,112.5,3879.89,119,7,12
2023-10-03,Tuesday,10,October,4,40,0,0,Pediatrics,8,128,105,115,3,9,22,115,56.6,89.8,3795.82,104,5,14
2023-10-04,Wednesday,10,October,4,40,0,0,Medicine,8,144,116,124,6,7,21,124,57.8,86.1,4020.83,111,7,10
2023-10-05,Thursday,10,October,4,40,0,0,Pediatrics,7,112,110,112,4,8,14,112,69.7,100.0,3747.83,100,7,9
2023-10-06,Friday,10,October,4,40,0,0,Medicine,7,112,83,89,2,6,14,89,51.1,79.5,2782.87,84,4,13
2023-10-07,Saturday,10,October,4,40,1,0,Medicine,7,105,72,75,4,6,13,75,58.8,71.4,2687.88,66,3,11
2023-10-08,Sunday,10,October,4,40,1,0,Surgical OPD,7,119,37,49,2,3,17,49,37.9,41.2,1703.6,43,3,11
2023-10-09,Monday,10,October,4,41,0,0,General OPD,7,126,116,123,6,8,21,123,73.3,97.6,3793.54,113,7,9
2023-10-10,Tuesday,10,October,4,41,0,0,General OPD,6,96,111,132,6,7,34,132,100.0,125.0,4668.78,125,5,8
2023-10-11,Wednesday,10,October,4,41,0,0,General OPD,7,126,126,139,3,6,22,139,85.8,110.3,5598.05,132,11,12
2023-10-12,Thursday,10,October,4,41,0,0,Pediatrics,6,90,111,122,6,8,25,122,100.0,125.0,3575.45,113,7,12
2023-10-13,Friday,10,October,4,41,0,0,General OPD,8,128,113,114,4,7,12,114,63.9,89.1,4411.95,108,6,12
2023-10-14,Saturday,10,October,4,41,1,0,Pediatrics,6,90,75,81,3,3,12,81,60.8,90.0,2402.95,76,5,11
2023-10-15,Sunday,10,October,4,41,1,0,Pediatrics,7,126,63,70,3,3,13,70,45.2,55.6,2634.89,68,3,11
2023-10-16,Monday,10,October,4,42,0,0,General OPD,8,120,115,126,4,12,27,126,82.6,105.0,3756.85,113,7,10
2023-10-17,Tuesday,10,October,4,42,0,0,Pediatrics,7,126,122,127,6,7,18,127,71.8,100.8,4452.96,119,9,13
2023-10-18,Wednesday,10,October,4,42,0,0,General OPD,7,105,108,119,5,10,26,119,89.8,113.3,3893.51,111,9,10
2023-10-19,Thursday,10,October,4,42,0,0,General OPD,8,144,111,110,5,7,11,110,63.7,76.4,2734.49,99,5,14
2023-10-20,Friday,10,October,4,42,0,0,Medicine,7,119,70,76,3,7,16,76,48.7,63.9,3014.33,73,5,10
2023-10-21,Saturday,10,October,4,42,1,0,General OPD,7,105,86,82,3,8,7,82,45.3,78.1,2330.29,74,5,12
2023-10-22,Sunday,10,October,4,42,1,0,General OPD,6,90,73,81,3,4,15,81,65.1,90.0,2180.65,74,5,9
2023-10-23,Monday,10,October,4,43,0,0,Pediatrics,6,102,93,107,4,3,21,107,87.6,104.9,3150.32,98,5,9
2023-10-24,Tuesday,10,October,4,43,0,0,Medicine,8,136,119,125,8,5,19,125,60.4,91.9,5265.62,113,9,13
2023-10-25,Wednesday,10,October,4,43,0,0,General OPD,7,105,116,120,7,7,18,120,90.6,114.3,3238.22,111,7,13
2023-10-26,Thursday,10,October,4,43,0,0,Pediatrics,8,136,90,92,3,9,14,92,55.7,67.6,3009.59,85,5,13
2023-10-27,Friday,10,October,4,43,0,0,General OPD,8,128,81,87,4,5,15,87,48.8,68.0,2393.14,83,4,10
2023-10-28,Saturday,10,October,4,43,1,0,General OPD,8,144,57,56,2,4,5,56,34.8,38.9,1578.82,54,3,10
2023-10-29,Sunday,10,October,4,43,1,0,Pediatrics,7,126,71,76,3,7,15,76,38.5,60.3,1945.78,68,3,10
2023-10-30,Monday,10,October,4,44,0,0,Pediatrics,7,126,111,124,5,8,26,124,78.4,98.4,4124.32,116,7,12
2023-10-31,Tuesday,10,October,4,44,0,0,Pediatrics,6,96,106,117,5,8,24,117,100.0,121.9,3668.55,113,8,11
2023-11-01,Wednesday,11,November,4,44,0,0,Medicine,6,102,127,137,3,11,24,137,95.4,125.0,3764.01,122,10,11
2023-11-02,Thursday,11,November,4,44,0,0,Surgical OPD,6,102,90,97,4,7,18,97,61.0,95.1,3442.8,90,7,12
2023-11-03,Friday,11,November,4,44,0,0,Pediatrics,7,105,97,94,4,7,8,94,59.1,89.5,3376.0,90,6,11
2023-11-04,Saturday,11,November,4,44,1,0,General OPD,8,136,59,69,2,4,16,69,35.5,50.7,2320.39,65,4,12
2023-11-05,Sunday,11,November,4,44,1,0,Medicine,6,90,64,73,3,5,17,73,49.9,81.1,2677.84,65,5,10
2023-11-06,Monday,11,November,4,45,0,0,General OPD,7,112,106,120,7,9,30,120,95.6,107.1,3672.48,110,7,13
2023-11-07,Tuesday,11,November,4,45,0,0,Pediatrics,6,108,112,120,6,11,25,120,92.4,111.1,3994.74,112,7,11
2023-11-08,Wednesday,11,November,4,45,0,0,General OPD,7,126,125,131,5,10,21,131,67.1,104.0,4011.14,128,8,11
2023-11-09,Thursday,11,November,4,45,0,0,General OPD,7,126,96,103,3,8,18,103,53.2,81.7,2674.98,92,5,12
2023-11-10,Friday,11,November,4,45,0,0,Surgical OPD,7,119,78,84,2,6,14,84,49.3,70.6,2761.67,82,3,10
2023-11-11,Saturday,11,November,4,45,1,0,Medicine,8,120,64,72,3,4,15,72,37.6,60.0,2349.7,66,4,12
2023-11-12,Sunday,11,November,4,45,1,0,Medicine,8,120,75,81,4,6,16,81,51.0,67.5,2582.22,73,4,11
2023-11-13,Monday,11,November,4,46,0,0,General OPD,6,96,124,130,6,11,23,130,96.0,125.0,4354.42,120,8,12
2023-11-14,Tuesday,11,November,4,46,0,0,General OPD,7,119,109,123,6,6,26,123,84.7,103.4,4630.66,116,5,9
2023-11-15,Wednesday,11,November,4,46,0,0,General OPD,7,112,106,121,3,5,23,121,92.2,108.0,3773.06,109,7,13
2023-11-16,Thursday,11,November,4,46,0,0,General OPD,8,120,128,133,6,8,19,133,100.0,110.8,3746.79,121,6,14
2023-11-17,Friday,11,November,4,46,0,0,Pediatrics,7,105,87,94,4,7,18,94,54.0,89.5,2914.85,91,6,13
2023-11-18,Saturday,11,November,4,46,1,0,Medicine,7,126,71,80,3,6,18,80,39.7,63.5,2516.21,78,4,11
2023-11-19,Sunday,11,November,4,46,1,0,Medicine,7,119,58,71,4,3,20,71,48.3,59.7,2551.34,65,4,10
2023-11-20,Monday,11,November,4,47,0,0,General OPD,6,90,120,128,5,3,16,128,100.0,125.0,4150.61,115,7,10
2023-11-21,Tuesday,11,November,4,47,0,0,Surgical OPD,8,144,92,99,4,6,17,99,53.0,68.8,2713.32,95,7,10
2023-11-22,Wednesday,11,November,4,47,0,0,Medicine,6,102,120,126,4,8,18,126,100.0,123.5,4437.95,118,9,12
2023-11-23,Thursday,11,November,4,47,0,0,Pediatrics,9,144,97,101,6,5,15,101,56.4,70.1,3492.63,90,4,14
2023-11-24,Friday,11,November,4,47,0,0,Pediatrics,8,136,97,106,3,6,18,106,54.1,77.9,3437.41,103,6,10
2023-11-25,Saturday,11,November,4,47,1,0,General OPD,8,136,75,67,3,7,2,67,39.1,49.3,2398.13,59,3,11
2023-11-26,Sunday,11,November,4,47,1,0,General OPD,8,120,70,73,5,5,13,73,38.5,60.8,2661.76,69,5,10
2023-11-27,Monday,11,November,4,48,0,0,General OPD,7,105,121,125,7,9,20,125,97.3,119.0,3811.28,115,7,11
2023-11-28,Tuesday,11,November,4,48,0,0,Medicine,8,136,100,106,5,7,18,106,52.3,77.9,3010.33,99,4,13
2023-11-29,Wednesday,11,November,4,48,0,0,General OPD,7,105,124,127,6,7,16,127,96.5,121.0,4057.97,114,8,11
2023-11-30,Thursday,11,November,4,48,0,0,General OPD,8,120,114,115,4,8,13,115,69.6,95.8,3926.84,109,8,14
2023-12-01,Friday,12,December,4,48,0,0,General OPD,7,105,103,98,5,8,8,98,61.3,93.3,3094.7,96,8,13
2023-12-02,Saturday,12,December,4,48,1,0,General OPD,7,126,61,65,3,3,10,65,46.8,51.6,1823.01,60,6,9
2023-12-03,Sunday,12,December,4,48,1,0,Medicine,7,126,70,81,4,7,22,81,49.1,64.3,2644.71,76,3,13
2023-12-04,Monday,12,December,4,49,0,0,Medicine,7,119,106,117,3,9,23,117,70.6,98.3,2792.32,106,6,13
2023-12-05,Tuesday,12,December,4,49,0,0,Pediatrics,8,120,100,114,5,6,25,114,69.7,95.0,3500.05,110,5,11
2023-12-06,Wednesday,12,December,4,49,0,0,General OPD,7,126,109,112,7,9,19,112,55.6,88.9,3965.32,109,6,10
2023-12-07,Thursday,12,December,4,49,0,0,Pediatrics,6,102,106,110,5,10,19,110,79.7,107.8,3918.39,105,10,10
2023-12-08,Friday,12,December,4,49,0,0,Pediatrics,8,120,87,92,5,6,16,92,49.3,76.7,1560.4,86,4,12
2023-12-09,Saturday,12,December,4,49,1,0,General OPD,9,144,60,68,3,4,15,68,38.3,47.2,2123.62,66,4,12
2023-12-10,Sunday,12,December,4,49,1,0,Pediatrics,8,120,66,71,3,6,14,71,45.3,59.2,2442.19,64,3,10
2023-12-11,Monday,12,December,4,50,0,0,General OPD,7,105,127,127,5,14,19,127,100.0,121.0,3466.55,118,7,10
2023-12-12,Tuesday,12,December,4,50,0,0,Pediatrics,7,126,103,118,4,7,26,118,60.5,93.7,3600.44,110,9,11
2023-12-13,Wednesday,12,December,4,50,0,0,Pediatrics,8,136,107,113,6,5,17,113,55.0,83.1,4161.89,105,4,13
2023-12-14,Thursday,12,December,4,50,0,0,General OPD,8,136,96,95,5,6,10,95,45.4,69.9,2856.02,91,5,14
2023-12-15,Friday,12,December,4,50,0,0,General OPD,7,126,85,82,6,7,10,82,30.3,65.1,3148.35,78,4,12
2023-12-16,Saturday,12,December,4,50,1,0,Pediatrics,8,120,62,74,4,3,19,74,61.1,61.7,2148.61,66,4,13
2023-12-17,Sunday,12,December,4,50,1,0,Pediatrics,9,144,56,64,3,4,15,64,34.0,44.4,2408.93,59,3,15
2023-12-18,Monday,12,December,4,51,0,0,Medicine,8,120,122,128,7,9,22,128,79.7,106.7,4113.18,117,10,11
2023-12-19,Tuesday,12,December,4,51,0,0,Medicine,8,120,133,140,5,7,19,140,89.1,116.7,3988.14,131,6,10
2023-12-20,Wednesday,12,December,4,51,0,0,General OPD,7,112,123,127,7,11,22,127,86.5,113.4,4781.91,115,8,12
2023-12-21,Thursday,12,December,4,51,0,0,General OPD,9,162,104,106,6,9,17,106,46.5,65.4,2880.45,95,6,11
2023-12-22,Friday,12,December,4,51,0,0,Pediatrics,8,136,111,101,4,12,6,101,58.2,74.3,2910.43,95,6,12
2023-12-23,Saturday,12,December,4,51,1,0,General OPD,7,126,75,78,5,6,14,78,44.9,61.9,2648.85,75,3,12
2023-12-24,Sunday,12,December,4,51,1,0,Pediatrics,8,144,55,58,4,3,10,58,34.5,40.3,1874.75,56,4,12
2023-12-25,Monday,12,December,4,52,0,1,Surgical OPD,8,120,53,66,2,4,19,66,48.8,55.0,2184.33,64,4,11
2023-12-26,Tuesday,12,December,4,52,0,0,Pediatrics,8,136,129,134,6,11,22,134,70.5,98.5,4090.58,128,7,13
2023-12-27,Wednesday,12,December,4,52,0,0,General OPD,9,153,121,131,6,11,27,131,57.1,85.6,3563.52,117,5,13
2023-12-28,Thursday,12,December,4,52,0,0,Pediatrics,8,144,81,87,5,5,16,87,40.6,60.4,2557.01,84,3,12
2023-12-29,Friday,12,December,4,52,0,0,Pediatrics,8,128,80,80,5,4,9,80,54.6,62.5,2982.53,74,4,11
2023-12-30,Saturday,12,December,4,52,1,0,Pediatrics,8,144,73,77,4,4,12,77,47.3,53.5,2052.21,73,4,10
2023-12-31,Sunday,12,December,4,52,1,0,Surgical OPD,8,128,55,68,3,5,21,68,41.1,53.1,2623.3,63,3,10
2024-01-01,Monday,1,January,1,1,0,0,General OPD,7,119,136,138,5,11,18,138,93.0,116.0,4590.35,133,12,12
2024-01-02,Tuesday,1,January,1,1,0,0,Surgical OPD,9,162,109,122,7,6,26,122,51.7,75.3,3612.76,113,6,12
2024-01-03,Wednesday,1,January,1,1,0,0,Surgical OPD,8,120,103,107,6,7,17,107,60.8,89.2,2567.12,95,6,13
2024-01-04,Thursday,1,January,1,1,0,0,General OPD,8,144,119,116,6,8,11,116,46.5,80.6,2844.0,109,6,10
2024-01-05,Friday,1,January,1,1,0,0,General OPD,9,153,99,100,4,5,10,100,52.8,65.4,3057.65,90,7,12
2024-01-06,Saturday,1,January,1,1,1,0,General OPD,9,135,84,80,5,6,7,80,43.5,59.3,2407.35,78,2,15
2024-01-07,Sunday,1,January,1,1,1,0,General OPD,8,120,88,84,5,7,8,84,59.0,70.0,2727.56,78,4,11
2024-01-08,Monday,1,January,1,2,0,0,General OPD,9,144,127,130,5,13,21,130,65.0,90.3,5053.96,122,8,12
2024-01-09,Tuesday,1,January,1,2,0,0,Medicine,8,120,132,139,7,8,22,139,82.1,115.8,4746.9,135,9,14
2024-01-10,Wednesday,1,January,1,2,0,0,General OPD,9,135,110,119,6,5,20,119,53.7,88.1,3746.74,112,5,13
2024-01-11,Thursday,1,January,1,2,0,0,General OPD,8,144,119,121,6,6,14,121,45.1,84.0,4460.95,110,6,12
2024-01-12,Friday,1,January,1,2,0,0,Medicine,8,136,114,122,7,6,21,122,55.7,89.7,3977.52,111,4,12
2024-01-13,Saturday,1,January,1,2,1,0,General OPD,8,128,66,72,4,4,14,72,35.1,56.2,2764.72,67,4,10
2024-01-14,Sunday,1,January,1,2,1,0,Medicine,10,180,97,97,6,5,11,97,43.5,53.9,2843.23,94,5,13
2024-01-15,Monday,1,January,1,3,0,0,General OPD,7,105,123,121,8,10,16,121,92.4,115.2,3316.47,116,7,13
2024-01-16,Tuesday,1,January,1,3,0,0,General OPD,9,135,141,147,9,7,22,147,89.8,108.9,3527.8,144,11,11
2024-01-17,Wednesday,1,January,1,3,0,0,Medicine,8,128,117,118,8,8,17,118,65.1,92.2,3726.25,105,5,14
2024-01-18,Thursday,1,January,1,3,0,0,Pediatrics,8,136,89,84,6,9,10,84,44.6,61.8,2273.16,76,3,10
2024-01-19,Friday,1,January,1,3,0,0,Medicine,9,144,122,118,6,10,12,118,64.9,81.9,3186.56,105,5,11
2024-01-20,Saturday,1,January,1,3,1,0,Medicine,9,162,62,67,3,5,13,67,37.7,41.4,2421.2,64,5,11
2024-01-21,Sunday,1,January,1,3,1,0,Medicine,9,144,78,89,4,8,23,89,45.4,61.8,2234.93,80,3,15
2024-01-22,Monday,1,January,1,4,0,0,General OPD,7,105,133,130,8,12,17,130,100.0,123.8,4213.85,116,9,12
2024-01-23,Tuesday,1,January,1,4,0,0,General OPD,9,162,141,139,11,11,20,139,51.4,85.8,4401.72,130,9,11
2024-01-24,Wednesday,1,January,1,4,0,0,Medicine,9,135,133,143,7,9,26,143,86.2,105.9,4628.7,132,7,13
2024-01-25,Thursday,1,January,1,4,0,0,Medicine,7,119,112,113,7,8,16,113,72.3,95.0,4241.61,108,5,10
2024-01-26,Friday,1,January,1,4,0,0,Surgical OPD,9,135,97,93,5,7,8,93,56.9,68.9,2668.84,86,5,14
2024-01-27,Saturday,1,January,1,4,1,0,General OPD,8,120,76,76,5,5,10,76,48.9,63.3,2853.02,70,4,13
2024-01-28,Sunday,1,January,1,4,1,0,General OPD,9,144,94,92,7,7,12,92,44.8,63.9,2296.24,85,6,15
2024-01-29,Monday,1,January,1,5,0,0,Medicine,8,120,137,139,9,10,21,139,97.3,115.8,4809.81,134,8,13
2024-01-30,Tuesday,1,January,1,5,0,0,General OPD,7,126,146,159,6,7,26,159,100.0,125.0,6026.97,146,10,13
2024-01-31,Wednesday,1,January,1,5,0,0,Surgical OPD,7,126,117,124,8,11,26,124,77.3,98.4,1957.19,113,11,13
2024-02-01,Thursday,2,February,1,5,0,0,Medicine,9,153,118,110,8,9,9,110,57.0,71.9,3504.43,101,3,13
2024-02-02,Friday,2,February,1,5,0,0,Pediatrics,9,162,117,118,7,8,16,118,49.9,72.8,3720.9,106,3,11
2024-02-03,Saturday,2,February,1,5,1,0,Medicine,9,144,69,73,5,5,14,73,49.6,50.7,2356.98,71,3,14
2024-02-04,Sunday,2,February,1,5,1,0,Medicine,8,136,90,93,5,8,16,93,54.7,68.4,3612.7,83,6,10
2024-02-05,Monday,2,February,1,6,0,0,General OPD,7,126,164,166,10,7,19,166,100.0,125.0,4804.95,161,11,9
2024-02-06,Tuesday,2,February,1,6,0,0,Surgical OPD,9,144,121,118,9,8,14,118,58.2,81.9,3216.91,107,5,11
2024-02-07,Wednesday,2,February,1,6,0,0,Pediatrics,8,144,113,121,8,6,22,121,57.3,84.0,3910.3,117,5,14
2024-02-08,Thursday,2,February,1,6,0,0,Medicine,8,144,102,93,7,12,10,93,47.2,64.6,3394.24,89,6,10
2024-02-09,Friday,2,February,1,6,0,0,General OPD,8,120,117,111,6,9,9,111,75.2,92.5,3800.03,104,4,13
2024-02-10,Saturday,2,February,1,6,1,0,Surgical OPD,8,144,64,73,3,3,15,73,43.4,50.7,2346.02,69,3,14
2024-02-11,Sunday,2,February,1,6,1,0,General OPD,8,144,113,101,7,15,10,101,45.3,70.1,3139.39,92,4,13
2024-02-12,Monday,2,February,1,7,0,0,General OPD,9,144,132,131,9,8,16,131,58.6,91.0,3140.37,123,3,15
2024-02-13,Tuesday,2,February,1,7,0,0,Surgical OPD,8,128,111,124,7,7,27,124,66.2,96.9,4258.59,113,6,11
2024-02-14,Wednesday,2,February,1,7,0,0,General OPD,9,135,128,132,7,9,20,132,74.7,97.8,4596.42,121,7,12
2024-02-15,Thursday,2,February,1,7,0,0,General OPD,9,162,133,129,9,7,12,129,52.1,79.6,3770.76,123,6,12
2024-02-16,Friday,2,February,1,7,0,0,Surgical OPD,9,135,85,86,6,6,13,86,48.3,63.7,2592.14,78,4,12
2024-02-17,Saturday,2,February,1,7,1,0,Surgical OPD,9,162,45,57,3,1,16,57,38.5,35.2,1585.0,55,3,15
2024-02-18,Sunday,2,February,1,7,1,0,Pediatrics,10,170,99,104,7,9,21,104,55.7,61.2,3689.14,95,5,12
2024-02-19,Monday,2,February,1,8,0,0,Pediatrics,8,136,113,116,7,6,16,116,55.0,85.3,3542.24,108,5,12
2024-02-20,Tuesday,2,February,1,8,0,0,Pediatrics,8,120,119,122,7,8,18,122,70.1,101.7,3831.14,119,6,12
2024-02-21,Wednesday,2,February,1,8,0,0,General OPD,9,135,149,147,12,12,22,147,95.1,108.9,5074.01,139,9,12
2024-02-22,Thursday,2,February,1,8,0,0,General OPD,10,150,141,141,8,9,17,141,60.2,94.0,4696.41,133,6,12
2024-02-23,Friday,2,February,1,8,0,0,Medicine,9,144,109,103,6,7,7,103,42.7,71.5,3528.07,98,5,14
2024-02-24,Saturday,2,February,1,8,1,0,Medicine,10,160,74,73,6,4,9,73,47.4,45.6,2387.05,71,5,12
2024-02-25,Sunday,2,February,1,8,1,0,Medicine,9,144,94,95,5,10,16,95,53.0,66.0,3114.9,86,5,14
2024-02-26,Monday,2,February,1,9,0,0,Medicine,8,120,130,133,8,10,21,133,90.9,110.8,4355.82,125,5,12
2024-02-27,Tuesday,2,February,1,9,0,0,General OPD,8,144,142,148,9,7,22,148,78.3,102.8,5004.13,136,9,10
